Counter-Strike 2D b 0.1.2.7 Logfile - 28 Aug 2015, 17:11:13

[17:11:13] UDP socket initialized using port 55805
[17:11:13] U.S.G.N.: Received unexpected masterserver message (46)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (50)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (46)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (55)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (32)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (105)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (115)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (32)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (110)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (111)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (119)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (32)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (111)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (110)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (108)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (105)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (110)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (101)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (33)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (39)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (0)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (84)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (104)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (105)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (115)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (32)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (105)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (115)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (32)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (97)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (32)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (104)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (111)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (116)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (102)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (105)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (120)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (32)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (114)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (101)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (108)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (101)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (97)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (115)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (101)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (32)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (102)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (111)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (114)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (32)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (98)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (32)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (48)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (46)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (49)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (46)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (50)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (46)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (54)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (33)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (37)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (0)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (70)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (105)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (120)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (101)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (115)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (32)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (115)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (111)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (109)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (101)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (32)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (102)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (111)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (103)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (32)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (111)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (102)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (32)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (119)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (97)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (114)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (32)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (97)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (110)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (100)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (32)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (76)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (117)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (97)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (32)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (105)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (115)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (117)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (101)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (115)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (46)
[17:11:19] ERROR: U.S.G.N. password file seems to be corrupted. You can't use password files from other systems/users!
[17:11:19] ERROR: U.S.G.N. password file seems to be corrupted!
[17:11:22] U.S.G.N.: Requesting serverlist...
[17:11:22] U.S.G.N.: Received serverlist (servers: 72)
[17:11:27] Connecting to 93.158.200.117:25425...
[17:11:27] Checking 'gfx/tiles/Metalno.bmp': Does not exist. Request transfer!
[17:11:27] Checking 'gfx/!sprites!/block.bmp': Does not exist. Request transfer!
[17:11:27] Checking 'gfx/!sprites!/shadow.bmp': Does not exist. Request transfer!
[17:11:27] Checking 'gfx/!sprites!/Pipe1.png': Does not exist. Request transfer!
[17:11:27] Checking 'gfx/!sprites!/Pipe2.png': Does not exist. Request transfer!
[17:11:27] Checking 'gfx/!sprites!/A spot.png': Does not exist. Request transfer!
[17:11:27] Checking 'gfx/!sprites!/B spot.png': Does not exist. Request transfer!
[17:11:27] Checking 'sfx/!sounds!/sound1.wav': Does not exist. Request transfer!
[17:11:27] Checking 'gfx/!sprites!/shadow2.bmp': Does not exist. Request transfer!
[17:11:27] Checking 'gfx/!sprites!/a spot.png': Does not exist. Request transfer!
[17:11:27] Checking 'gfx/!sprites!/b spot.png': Does not exist. Request transfer!
[17:11:27] Checking 'gfx/!sprites!/block.bmp': Does not exist. Request transfer!
[17:11:27] Checking 'gfx/!sprites!/pipe1.png': Does not exist. Request transfer!
[17:11:27] Checking 'gfx/!sprites!/pipe2.png': Does not exist. Request transfer!
[17:11:27] Checking 'gfx/!sprites!/shadow.bmp': Does not exist. Request transfer!
[17:11:27] Checking 'gfx/!sprites!/shadow2.bmp': Does not exist. Request transfer!
[17:11:27] Checking 'gfx/tiles/metalno.bmp': Does not exist. Request transfer!
[17:11:27] Checking 'gfx/doghouse/hats/doge1.png': Does not exist. Request transfer!
[17:11:27] Checking 'gfx/doghouse/hats/doge2.png': Does not exist. Request transfer!
[17:11:27] Checking 'gfx/doghouse/hats/doge3.png': Does not exist. Request transfer!
[17:11:27] Checking 'gfx/doghouse/hats/doge4.png': Does not exist. Request transfer!
[17:11:27] Checking 'gfx/doghouse/hats/doge5.png': Does not exist. Request transfer!
[17:11:27] Checking 'gfx/doghouse/ranks/1.png': Does not exist. Request transfer!
[17:11:27] Checking 'gfx/doghouse/ranks/2.png': Does not exist. Request transfer!
[17:11:27] Checking 'gfx/doghouse/ranks/3.png': Does not exist. Request transfer!
[17:11:27] Checking 'gfx/doghouse/ranks/4.png': Does not exist. Request transfer!
[17:11:27] Checking 'gfx/doghouse/ranks/5.png': Does not exist. Request transfer!
[17:11:27] Checking 'gfx/doghouse/ranks/halo2.png': Does not exist. Request transfer!
[17:11:27] Checking 'gfx/doghouse/ranks/halo3.png': Does not exist. Request transfer!
[17:11:27] Checking 'sfx/doghouse/grinding_time.ogg': Does not exist. Request transfer!
[17:11:27] Checking 'sfx/doghouse/notif.ogg': Does not exist. Request transfer!
[17:11:27] Checking 'maps/Scrap Land.map': Does not exist. Request transfer!
[17:11:27] Requesting 32 files from server...
[17:11:33] Downloading 'gfx/tiles/Metalno.bmp' from server...
[17:11:36] Downloading 'gfx/!sprites!/block.bmp' from server...
[17:11:36] Created directory 'gfx/!sprites!' for received files
[17:11:36] Downloading 'gfx/!sprites!/shadow.bmp' from server...
[17:11:37] Downloading 'gfx/!sprites!/Pipe1.png' from server...
[17:11:37] Downloading 'gfx/!sprites!/Pipe2.png' from server...
[17:11:37] Downloading 'gfx/!sprites!/A spot.png' from server...
[17:11:37] Downloading 'gfx/!sprites!/B spot.png' from server...
[17:11:37] Downloading 'sfx/!sounds!/sound1.wav' from server...
[17:11:38] Created directory 'sfx/!sounds!' for received files
[17:11:38] Downloading 'gfx/!sprites!/shadow2.bmp' from server...
[17:11:38] Downloading 'gfx/!sprites!/a spot.png' from server...
[17:11:38] Downloading 'gfx/!sprites!/b spot.png' from server...
[17:11:38] Downloading 'gfx/!sprites!/pipe1.png' from server...
[17:11:38] Downloading 'gfx/!sprites!/pipe2.png' from server...
[17:11:38] Downloading 'gfx/tiles/metalno.bmp' from server...
[17:11:42] Downloading 'gfx/doghouse/hats/doge1.png' from server...
[17:11:42] Created directory 'gfx/doghouse' for received files
[17:11:42] Created directory 'gfx/doghouse/hats' for received files
[17:11:42] Downloading 'gfx/doghouse/hats/doge2.png' from server...
[17:11:42] Downloading 'gfx/doghouse/hats/doge3.png' from server...
[17:11:42] Downloading 'gfx/doghouse/hats/doge4.png' from server...
[17:11:42] Downloading 'gfx/doghouse/hats/doge5.png' from server...
[17:11:42] Downloading 'gfx/doghouse/ranks/1.png' from server...
[17:11:42] Created directory 'gfx/doghouse/ranks' for received files
[17:11:43] Downloading 'gfx/doghouse/ranks/2.png' from server...
[17:11:43] Downloading 'gfx/doghouse/ranks/3.png' from server...
[17:11:43] Downloading 'gfx/doghouse/ranks/4.png' from server...
[17:11:43] Downloading 'gfx/doghouse/ranks/5.png' from server...
[17:11:43] Downloading 'gfx/doghouse/ranks/halo2.png' from server...
[17:11:44] Downloading 'gfx/doghouse/ranks/halo3.png' from server...
[17:11:44] Downloading 'sfx/doghouse/grinding_time.ogg' from server...
[17:11:46] Created directory 'sfx/doghouse' for received files
[17:11:46] Downloading 'sfx/doghouse/notif.ogg' from server...
[17:11:48] Downloading 'maps/Scrap Land.map' from server...
[17:11:48] load map 'Scrap Land'
[17:11:48] receiving server data (68 b)
[17:11:48] receiving player data (278 b, 8)
[17:11:48] receiving player data (266 b, 8)
[17:11:48] receiving player data (135 b, 4)
[17:11:48] receiving player data (0 b, 0)
[17:11:48] receiving hostage data (0 b, 0)
[17:11:48] receiving item data (880 b, 80)
[17:11:48] receiving item data (22 b, 2)
[17:11:48] receiving item data (0 b, 0)
[17:11:48] receiving entity states (25 b, 5)
[17:11:48] receiving entity states (0 b, 0)
[17:11:48] receiving dynamic object data (0 b, 0)
[17:11:48] receiving projectile data (7 b, 1)
[17:11:48] receiving projectile data (0 b, 0)
[17:11:48] receiving dynamic object image data (0 b, 0)
[17:11:48] receiving tween data (0 b, 0)
[17:11:48] receiving custom tile data (0 b, 0)
[17:11:48] receiving final ACK (7 b)
[17:11:48] switching to ingame mode...
[17:11:48] ----- Server joined -----
[17:11:48] Welcome, Player 2!
[17:11:48] ERROR: cannot play sound 'sfx/sfx/doghouse/notif.ogg' - file does not exist (sv_sound)
[17:11:48] You need to login with a USGN to save in-game stats.
[17:11:49] Scout. killed Johan with Laser
[17:11:49] Scout. killed blazo with Laser
[17:11:51] Player 2 joins the Terrorist Forces
[17:11:51] Ra | G.G.O Sinon~! *DEAD*: LOL
[17:11:52] fwsserver.forumotions.net
[17:11:53] GunSlinger died
[17:11:54] Player 3 *DEAD*: 0*
[17:11:56] LuppeFail *DEAD*: easy
[17:11:57] Ra | G.G.O Sinon~! *DEAD*: D:
[17:11:57] {Skull|Wull{2D} *DEAD*: nonoonononononon
[17:11:58] ERROR: U.S.G.N. password file seems to be corrupted. You can't use password files from other systems/users!
[17:11:58] ERROR: U.S.G.N. password file seems to be corrupted!
[17:12:00] {Skull|Wull{2D}: :O
[17:12:06] Banana has left the game
[17:12:10] Player 3 killed dante with RPG Launcher
[17:12:10] ERROR: U.S.G.N. password file seems to be corrupted. You can't use password files from other systems/users!
[17:12:10] ERROR: U.S.G.N. password file seems to be corrupted!
[17:12:11] physofury killed Player 3 with SG552
[17:12:13] 0 and 1 connected
[17:12:14] {Skull|Wull{2D} killed physofury with FN F2000
[17:12:14] Scout. killed >FROST< Price with Laser
[17:12:14] Scout. Reached 10 KpD!
[17:12:15] Ra | G.G.O Sinon~! killed blazo with Glock
[17:12:15] Ra | G.G.O Sinon~! Reached 4 KpD!
[17:12:15] Johan: omg
[17:12:15] 0 and 1 connected
[17:12:18] 0 and 1 joins the Counter-Terrorist Forces
[17:12:19] Ra | G.G.O Sinon~! killed CaIIejeros with Glock
[17:12:19] Ra | G.G.O Sinon~! Reached 5 KpD!
[17:12:20] {Skull|Wull{2D} killed Player 2 with FN F2000
[17:12:20] k¦{Skull|Wull{2D}¦54¦0
[17:12:22] LTU@+Tadas connected
[17:12:24] Player killed {Skull|Wull{2D} with M4A1
[17:12:24] CaIIejeros killed LuppeFail with Mine
[17:12:25] LTU@+Tadas joins the Counter-Terrorist Forces
[17:12:26] Player killed Johan with M4A1
[17:12:26] Player Reached 2 KpD!
[17:12:30] ERROR: U.S.G.N. password file seems to be corrupted. You can't use password files from other systems/users!
[17:12:30] ERROR: U.S.G.N. password file seems to be corrupted!
[17:12:36] RE!S killed GunSlinger with Deagle
[17:12:37] [\\HoWa//]Vidook killed Callejeros with RPG Launcher
[17:12:40] LuppeFail *DEAD*: xD
[17:12:42] RE!S: sdas
[17:12:43] Johan: :(
[17:12:44] ERROR: U.S.G.N. password file seems to be corrupted. You can't use password files from other systems/users!
[17:12:44] ERROR: U.S.G.N. password file seems to be corrupted!
[17:12:44] GunSlinger has left the game
[17:12:46] 0 and 1 has left the game
[17:12:48] dante has left the game
[17:12:53] fwsserver.forumotions.net
[17:12:55] {Skull|Wull{2D} has left the game
[17:12:57] Player 3 killed Kaptan | Naro ~ with Scout
[17:12:57] Player 3 Reached 2 KpD!
[17:13:00] Scout. killed CaIIejeros with Laser
[17:13:04] Johan: mine
[17:13:04] r¦Kaptan | Naro ~¦3110 of 5042¦0,0,1,0.00,2 m 30 s
[17:13:11] Scout. killed LTU@+Tadas with Laser
[17:13:13] >FROST< Price killed LuppeFail with Satchel Charge
[17:13:15] LTU@+Tadas has left the game
[17:13:19] Player 2 killed >FROST< Price with Deagle
[17:13:20] [\\HoWa//]Vidook killed blazo with Chainsaw
[17:13:22] Player 3 killed physofury with Scout
[17:13:22] Player 3 Reached 3 KpD!
[17:13:24] RE!S killed Callejeros with Machete
[17:13:26] Johan killed Ra | G.G.O Sinon~! with Machete
[17:13:27] Johan killed [\\HoWa//]Vidook with Machete
[17:13:53] fwsserver.forumotions.net
[17:13:55] Scout. killed Johan with Laser
[17:13:57] Player 3 killed Player with Scout
[17:13:57] Player 3 Reached 4 KpD!
[17:14:29] Scout. killed Player 3 with Laser
[17:14:33] Banana connected
[17:14:42] * Auto Teambalance *
[17:14:42] Player 2 joins the Counter-Terrorist Forces
[17:14:42] Banana connected
[17:14:42] CaIIejeros changes name to Zerstören
[17:14:42] Player 3 (Team): sry
[17:14:42] RE!S: ahashdha
[17:14:42] Zerstören: Chaja chaja
[17:14:53] fwsserver.forumotions.net
[17:14:53] Scout. killed blazo with Laser
[17:14:53] Scout. Reached 15 KpD!
[17:14:54] physofury killed Zerstören with Glock
[17:14:57] LTU@+Tadas connected
[17:14:57] RE!S killed Player 2 with M4A1
[17:14:57] k¦RE!S¦100¦204
[17:14:58] physofury killed Player 3 with Glock
[17:14:59] Player 2 has left the game
[17:14:59] ----- Disconnected -----
